Title,Abstract,Authors,PublicationDate,DOI,Source
An emerging problem in clinical practice: how to approach acute psychosis.,"Limbic encephalitis (LE) is rare, presents with memory impairment, seizures and behavioral disorder. We present a 44-year-old female with an agitation-depressive disorder associated with delusions and hallucinations, admitted to our hospital with the diagnosis of psychosis. A computed tomography (CT) scan of the brain and lumbar puncture on admission were normal. Because of clinical deterioration and addition of seizures in the clinical picture, further workup with serum and repeat cerebrospinal fluid studies, magnetic resonance imaging (MRI), and electroencephalogram disclosed a lesion in the left medial temporal lobe consistent with LE. The patient was treated symptomatically with antidepressive, antipsychotic and anticonvulsant drugs. Aggressive diagnostic tests for the presence of an occult cancer were negative. An 8-year follow up has not revealed a tumor to support a paraneoplasmatic origin of LE. This case, initially diagnosed and treated as psychosis, is a case of non-paraneoplasmatic, non-infective LE, probably caused by an autoimmune mechanism.","Markoula S, Chatzistefanidis D, Konitsiotis S, Kyritsis AP",2012 Jan 1,10.4081/cp.2012.e7 e7,PubMed
Reduplicative paramnesia after a right frontal lesion.,"OBJECTIVE: To report a case of reduplicative paramnesia after a focal lesion localized in the right frontal subcortical region. BACKGROUND: It is suggested that a right frontal subcortical lesion alone may be sufficient to cause cognitive disturbance that can develop into reduplicative paramnesia. Clinical data have been scarce. METHOD: We describe the clinical, neuropsychological, and neuroradiologic findings of a 69-year-old man with reduplicative paramnesia after a right frontal subcortical lesion. RESULTS: Observation and neuropsychological study showed visuospatial impairment, visual-dominant memory disturbance, anosognosia for cognitive disturbance, and mild frontal dysfunction with paranoid personality. Diffusion-weighted magnetic resonance imaging study showed a lesion localized in the right inferior posterior frontal subcortical area, and we could define 5 neural pathways involved with the lesion. We supposed that 4 of these were potentially related to reduplicative paramnesia: the medial inferior component of the superior longitudinal fasciculus and the fronto-occipital fasciculus, which are related to visuospatial processing; the anterior thalamic radiation, which is concerned with memory processes; and the uncinate fasciculus, which may be related to abnormal feelings of hyperfamiliarity. CONCLUSIONS: A localized lesion in the right inferior posterior frontal subcortical area can cause cognitive dysfunction that may develop into reduplicative paramnesia. Paranoid personality and the change of the patient's hospital room might have triggered the reduplicative delusion in this case.","Lee K, Shinbo M, Kanai H, Nagumo Y",2011 Mar,10.1097/WNN.0b013e31821129b7,PubMed
Mirrored-self misidentification in a patient without dementia: evidence for right hemispheric and bifrontal damage.,"Mirrored-self misidentification, often referred as the 'mirror sign', is a delusion characterized by the inability to recognize one's own reflected image, often associated with the intact capacity to recognize others in the mirror. It has been described mainly in moderate or severe dementia, especially Alzheimer's disease. In the few reported cases without global cognitive impairment, right hemispheric and frontal dysfunctions have been described. We report a 90-year-old man with abrupt onset of the mirror sign after a minor right hemispheric ischemic stroke. Neuropsychological testing revealed preserved cognitive capacities, except for mild to moderate impairment of visuospatial skills, suggesting right hemisphere dysfunction. Neuroimaging showed a small right dorsolateral frontal infarct, and bifrontal encephalomalacia, consistent with a past history of head trauma. Scattered ischemic white matter lesions in posterior periventricular regions were also seen. It seems that the mirror sign is a multifactorial phenomenon that usually requires right hemispheric dysfunction (perceptual abnormalities, loss of familiarity) and frontal damage (loss of judgement and inability to correct wrong beliefs). The right frontal dorsolateral prefrontal cortex seems to have a crucial role in self-recognition.","Villarejo A, Martin VP, Moreno-Ramos T, Camacho-Salas A, Porta-Etessam J, Bermejo-Pareja F",2011 Jun,10.1080/13554794.2010.498427,PubMed
[A case of thiamine deficiency with psychotic symptoms--blood concentration of thiamine and response to therapy].,"We report the case of a 63-year-old woman with thiamine deficiency who showed auditory hallucinations, a delusion of persecution, catatonic stupor, and catalepsy but no neurological symptoms including oculomotor or gait disturbance. Brain MRI did not show high-intensity T2 signals in regions including the thalami, mamillary bodies, or periaqueductal area. Her thiamine concentration was 19 ng/mL, only slightly less than the reference range of 20-50 ng/mL. Her psychosis was unresponsive to antipsychotics or electroconvulsive therapy, but was ameliorated by repetitive intravenous thiamine administrations at 100-200 mg per day. However, one month after completing intravenous treatment, her psychosis recurred, even though she was given 150 mg of thiamine per day orally and her blood concentration of thiamine was maintained at far higher than the reference range. Again, intravenous thiamine administration was necessary to ameliorate her symptoms. The present patient indicates that the possibility of thiamine deficiency should be considered in cases of psychosis without neurological disturbance and high-intensity T2 MRI lesions. Also, this case suggests that a high blood thiamine concentration does not necessarily correspond to sufficient thiamine levels in the brain. Based on this, we must reconsider the importance of a high dose of thiamine administration as a therapy for thiamine deficiency. The validity of the reference range of the thiamine concentration, 20-50 ng/mL, is critically reviewed.","Sasaki T, Yukizane T, Atsuta H, Ishikawa H, Yoshiike T, Takeuchi T, Oshima K, Yamamoto N, Kurumaji A, Nishikawa T",2010,,PubMed
[Stroke-psychosis. Description of two cases].,"INTRODUCTION: The presence of neuropsychiatry symptoms (hallucinations, delusions and agitation) as stroke-related guideline symptoms, thus forming an acute psychosis of organic cause, are extremely uncommon and often correlate with strategic infarcts (caudate nucleus, striatum and thalamus). CLINICAL CASE: We report two cases of stroke-psychosis. Case 1. A 67-year-old man with sudden-onset delusions of persecution and complete recovery in three months. The brain magnetic resonance imaging (MRI) revealed infarctions in both head of the caudate nucleus and body of right caudate nucleus. Case 2. A 49-year old man with sudden-onset delusions of persecution and gustative hallucinations that disappeared in three months. The brain MRI revealed small infarction in the left thalamus. DISCUSSION: The possible vascular origin of the psychosis in both cases (sudden onset, complete recover, demonstration of acute ischemic lesion in strategic territory) and the underlying psychopathogenic mechanism (dysfunction of prefrontal cortico-subcortical circuits) is discussed.","Santos S, Alberti O, Corbalan T, Cortina MT",2009 Jul-Aug,,PubMed
[Inaugural psychotic events in multiple sclerosis?].,"INTRODUCTION: Psychotic symptoms are not readily recognized in multiple sclerosis, especially at the beginning of the disease. METHODS: We report the cases of four patients who developed psychotic symptoms that led to the diagnosis of multiple sclerosis. We describe the psychiatric and neurological features, MRI findings, clinical outcome and treatment. RESULTS: Two patients developed persecutory delusions, one presented a manic episode and the fourth melancholia with catatonia. Mean age was 39 years (range 20-49 years). Two patients had a personal history, but none a familial history of psychiatric disease. Examination of the cerebrospinal fluid revealed an oligoclonal pattern in all patients. All patients fulfilled Barkhof's MRI criteria. Three have had brain MRI with injection during psychotic symptoms. In these three cases, a frontal lesion appeared. The patient with catatonia also had a new lesion in the cerebellum and in the brainstem. All patients needed a ""psychiatric"" treatment, including antipsychotics. The psychiatric event lasted three months for two patients and the two others experienced relapse. CONCLUSION: Acute psychiatric symptom may reveal multiple sclerosis at the beginning of the disease. Frontal lobe localization is suggested. We propose that a psychotic event may correspond to a multiple sclerosis event.","Blanc F, Berna F, Fleury M, Lita L, Ruppert E, Ferriby D, Vermersch P, Vidailhet P, de Seze J",2010 Jan,10.1016/j.neurol.2009.04.014,PubMed
"Disrupted auto-activation, dysexecutive and confabulating syndrome following bilateral thalamic and right putaminal stroke.","OBJECTIVE: Clinical, neuropsychological, structural and functional neuroimaging results are reported in a patient who developed a unique combination of symptoms after a bi-thalamic and right putaminal stroke. The symptoms consisted of dysexecutive disturbances associated with confabulating behavior and auto-activation deficits. BACKGROUND: Basal ganglia and thalamic lesions may result in a variety of motor, sensory, neuropsychological and behavioral syndromes. However, the combination of a dysexecutive syndrome complicated at the behavioral level with an auto-activation and confabulatory syndrome has never been reported. METHODS: Besides clinical and neuroradiological investigations, an extensive set of standardized neuropsychological tests was carried out. RESULTS: In the post-acute phase of the stroke, a dysexecutive syndrome was found in association with confabulating behavior and auto-activation deficits. MRI showed focal destruction of both thalami and the right putamen. Quantified ECD SPECT revealed bilateral hypoperfusions in the basal ganglia and thalamus but no perfusion deficits were found at the cortical level. CONCLUSION: The combination of disrupted auto-activation, dysexecutive and confabulating syndrome in a single patient following isolated subcortical damage renders this case exceptional. Although these findings do not reveal a functional disruption of the striato-ventral pallidal-thalamic-frontomesial limbic circuitry, they add to the understanding of the functional role of the basal ganglia in cognitive and behavioral syndromes.","De Witte L, Engelborghs S, Verhoeven J, De Deyn PP, Marien P",2008,,PubMed
A vanishing lesion in the temporal lobe associated with schizophrenialike psychosis and catatonia.,"OBJECTIVE: To present the case of a patient with hallucinations and psychotic symptoms that co-occurs with a temporary lesion in the left posterior temporal lobe. BACKGROUND: Psychosis and auditory hallucinations are characteristic features of schizophrenia, but may also complicate many somatic diseases. Current functional imaging studies suggest a role of the temporal lobes. METHOD: We describe a patient who initially presented with schizophrenialike psychotic symptoms at an age of 23. She did not respond to antipsychotic medication and developed severe medication-resistant catatonia. RESULTS: Magnetic resonance imaging studies revealed an opaque left temporal lesion that could not be diagnosed otherwise. Electroconvulsive therapy led to remission of her catatonic and psychotic symptoms. After clinical remission, the temporal lesion had vanished. CONCLUSIONS: The longitudinal association between the lesion and the occurrence and disappearance of psychosis supports current theories on the role of the left temporal lobe in psychosis.","Kho KH, van Veelen NM, Beerepoot LJ, Sommer IE",2007 Dec,,PubMed
"""Far from the heart far from the eye"": evidence from the Capgras delusion.","INTRODUCTION: Capgras syndrome is characterised by the belief that a significant other has been replaced by an identical-looking impostor. These patients have no difficulties with visual recognition but fail to show a skin conductance response (SCR) to the objects of the delusion. A case of Capgras delusion (YY), specifically characterised by the absence of brain lesions, constituted a good opportunity to test the relationship between SCR hyporesponsiveness and eye movement patterns to familiar and unfamiliar faces. METHODS: Visual scan path and SCR were recorded for YY and 8 controls during the presentation of family members' photographs matched with unfamiliar faces of the same sex, age, and physical likeness. Eye movement patterns were explored by selecting three specific areas of interest (AOI) involving the eyes, the mouth, and the face regions. RESULTS: In contrast with controls, YY showed a reduction in number and sum of fixation durations to the eyes (p<.01) and no differential SCRs (p>.05) to familiar vs. nonfamiliar faces. SCR and fixation duration to family members' eyes were significantly correlated (r=.77) in both YY and controls. CONCLUSIONS: Eye region exploration seems to be related to the autonomic reactivity elicited by the affective valence of familiar faces.","Brighetti G, Bonifacci P, Borlimi R, Ottaviani C",2007 May,,PubMed
[Acute psychosis and Behcet's disease: a case report].,"BACKGROUND: Behcet's disease is a multisystem vasculitis of unknown origin. The prevalence of the disease varies widely and is high in the Eastern Mediterranean Basin, North Africa, Iran and Japan. Many clinical features of Behcet's disease have been described and the international study group for Behcet's disease has defined a set of diagnostic criteria. These require the presence of recurrent oral ulcers plus two of the following: recurrent genital ulcerations, typical defined eye lesions, typical defined skin lesions or a positive pathergy test (a skin hypersensitivity reaction to a non-specific physical insult; when positive, the response consists of a papule or pustule that develops after 24 to 48 hours at the site of a needle prick to the skin). Although not included in these diagnostic criteria, there are some other features commonly seen in patients with Behcet's disease: thrombophlebitis, oligo-arthritis, gastrointestinal ulcerations and neurological involvement. Neuro-Behcet is well described in Behcet's disease, with variable prevalence rates between 5.3 and 35%. This prevalence is probably affected by the type of study (retrospective or prospective) and regional and ethnic variations in disease expression. Psychiatric symptoms usually occur as incidental findings in some patients with neurological disease; they are misdiagnosed and mistreated. CASE-REPORT: The patient described here developed acute psychotic symptoms without parenchymal cerebral involvement, and negative symptoms during Behcet's disease. Two hypotheses were evoked: schizophrenia associated with Behcet's disease versus psychiatric syndrome induced by vasculitis. Such a case has not been reported in the literature. We describe the case of a 31-year-old Haitian female, admitted because of an acute psychosis. She developed hallucination, misrecognition, psychomotor hyperactivity and delusion about her million childbirths. The patient had three years history of mistreated Behcet's disease, in particular recurrent oral ulcers, iritis and cardiovascular manifestations. She also had a history of uterine tumour, rectal carcinoid tumour and recurrent pleurisies. One year ago, she presented breast lymphangitis, anxiety, unusual thought content, hostility, suspiciousness, and poor impulse control: cranial computerised tomography scan was normal. After ten days of hospitalization, she complained of oral and genital aphta and no neurological sign was found. The cerebral angiographic magnetic resonance imaging showed a thrombophlebitis of the left lateral sinus without parenchymal involvement. Haloperidol, Heparin, Colchicine, Cyclophosphamide and Prednisone were introduced. Six months after, delirium and Behcet's symptoms had disappeared with the following treatment: Risperidone, Alprazolam, Zolpidem, Colchicine, Prednisone, and Azathioprine. The patient has developed enduring negative symptoms: blunted affect, social withdrawal, difficulty in abstract thinking, lack of spontaneity and flow of conversation and poor rapport. They are still present. This patient had two acute psychotic symptoms without parenchymal pattern. After treatment, she had persistent negative symptoms and psychosocial deterioration. This evolution is commonly seen in schizophrenia. DISCUSSION: Retrospective analysis of this patient's course suggests that -psychiatric episodes were always associated with physical manifestations. However, pleurisies, lymphangitis, uterine and rectal tumours have never been described in Behcet's disease. This vasculitis occurs less frequently in the Caribbean than in Mediterranean, Middle East or Japan. It seemed that this patient had a psychotic syndrome and a chronic relapsing multisystem disorder, more complex than Behcet's disease. A prospective study would be useful to characterize psychiatric patterns of Behcet's disease and establish their relationships with physical manifestations, especially neurological involvement.","Nkam I, Cottereau MJ",2006 May-Jun,,PubMed
Psychosis in multiple sclerosis associated with left temporal lobe lesions on serial MRI scans.,There is retrospective evidence of a correlation between psychosis in multiple sclerosis (MS) patients and temporal lobe pathology. A 35-year-old woman with MS presented with psychosis. There was no concurrent history of medication/substance use or family history. Comparison with previous MRI scans showed significant progression of lesions within the periventricular white matter of the left temporal lobe. This case highlights the association of psychosis and MS progression with worsening of left temporal lobe lesions. Prospective studies are required to ascertain the extent to which left temporal lobe lesions are predictive of future psychosis.,"Reiss JP, Sam D, Sareen J",2006 Feb,,PubMed
Environmental reduplication in a patient with right middle cerebral artery occlusion.,"Environmental reduplication or reduplicative paramnesia is one of the content-specific delusions (CSD) which is characterized by reduplication of places. CSD has been reported in focal and diffuse cerebral disorders. A focal lesion such as frontal lobes and the right hemispheric lesion have been documented The authors describe a 66 year-old woman who had a delusion of misidentification for place one month after right middle cerebral artery occlusion. The patient did not have any history of schizophrenia or other psychiatric diseases. The patient believed that her car, furniture and house were duplicated. She also mentioned that her son and friends tried to takeover all of her properties and told everyone that she was insane. The prominent cortical signs were tactile and visual neglect. Neuropsychological assessments revealed poor attention but she had neither confusion nor dementia. Clock drawing and construction tests revealed visuospatial impairment which was compatible with non-dominant hemispheric abnormality. MRI showed evidence of cerebral infarction in the right middle cerebral artery territory. Only one similar patient who had an intracerbral hematoma of the right frontal lobe has been reported in the literature. The role of occipito-parietal and fronto-temporal lobes or their connections in environmental reduplication is proposed.","Likitcharoen Y, Phanthumchinda K",2004 Dec,,PubMed
Xanthogranulomatous hypophysitis mimicking a pituitary neoplasm.,"Hypophysitis is an inflammatory disease of the pituitary gland that clinically and radiologically mimics pituitary tumors. We report here a case of xanthogranulomatous hypophysitis mimicking a pituitary neoplasm.A 65-yr-old woman presented with weight loss, fatigue, and visual disturbance. Computed tomography demonstrated a round cystic low-density mass with calcification in the sella. A T1-weighted magnetic resonance imaging scan showed most of the mass as hyperintense. The capsule of the mass was strongly enhanced by gadolinium. Endocrinologic examination revealed hypocorticism and hypothyroidism. Diabetes insipidus (DI) developed after the administration of hydrocortisone. The patient also had hallucination and delusions of persecution. Transsphenoidal surgery was performed. Histologic examination of the removed tissue showed central necrosis surrounded by accumulation of foamy cells and epithelioid cells. Several multinucleated giant cells were also seen. The foamy cells and epithelioid cells were immunopositive for Kp-1, a marker of macrophages. The patient made an uneventful postoperative recovery. Although DI and hypofunction of adenohypophysis persisted, the visual disturbance and psychiatric disorder were resolved. We have described an unusual inflammatory lesion of the pituitary in the sellar region that was mimicking neoplasm. A high level of clinical suspicion of inflammatory disorders is necessary for correct diagnosis and optimal management.","Yokoyama S, Sano T, Tajitsu K, Kusumoto K",2004 Winter,,PubMed
[A relapse of multiple sclerosis manifesting as acute delirium].,"Psychotic symptoms are infrequent in multiple sclerosis (MS) and their relationship to cerebral lesions has not been clearly documented. The case of a 58 year old woman with secondary progressive MS is presented. She had acute delirium with persecutory delusions associated to paresis of her left leg. Magnetic resonance imaging of the brain disclosed an active lesion in the left hippocampus. The patient was treated with risperidone and megadoses of methylprednisolone, with dramatic improvement. Clinical and radiological data in this patient suggest that psychotic disorders can be symptomatic of a relapse in MS and, therefore, susceptible to be treated with steroids.","Castellanos-Pinedo F, Galindo R, Adeva-Bartolome MT, Zurdo M",2004 Jul-Aug,,PubMed
Cotard's syndrome with schizophreniform disorder can be successfully treated with electroconvulsive therapy: case report.,"We report a case of Cotard's syndrome associated with psychotic symptoms. A 27-year-old man was admitted to hospital with the diagnosis of schizophreniform disorder. His presenting symptoms, which had started 1 month before hospital admission, were somatic delusions of gastrointestinal and cardiovascular malfunction and the absence of a stomach, which resulted in a decrease in weight from 75 kg to 63 kg in 1 month. Cranial computed tomographic images showed dilatation of the lateral and third ventricles, whereas magnetic resonance imaging revealed central atrophy and lateral ventricle dilatation. Single- photon emission computed tomography demonstrated left temporal, left frontal and left parietal hypoperfusion. The patient did not respond to antipsychotic therapies, but he was successfully treated with electroconvulsive therapy. This report emphasizes that Cotard's syndrome may be accompanied by lesions of the left hemisphere and that electroconvulsive therapy could be the first-line therapy in such patients with psychotic disorder.","Caliyurt O, Vardar E, Tuglu C",2004 Mar,,PubMed
[An autopsy case of 40-year-old male with encephalitis demonstrated lesions of the cerebral cortex on MRI and presenting symptoms such as delusion and hallucination. Clinical conference].,,"Yoshioka M, Fujigasaki J, Ohama E, Ida M, Inoue K, Yokochi M, Kawamura M, Takagi M, Orimo S",2003 Dec,,PubMed
Belief and awareness: reflections on a case of persistent anosognosia.,"Persisting anosognosia after acute lesions is relatively rare, and no case studies to date have reported functional scanning investigation of this disorder. This is a case report of an 85-year-old right-handed Scottish woman, EN, who showed persistent anosognosia for hemiplegia following a haemorrhagic stroke. Extensive damage in the right hemisphere caused left upper and lower limb flaccid hemiplegia and severe left-sided neglect. Lack of awareness for her deficits was still present 2 years after the stroke, when neurological, neuropsychological, and SPECT examinations were performed. Testing revealed severe left unilateral neglect and poor performance on verbal fluency tasks. EN had age normal memory performance, and her object recognition and praxic abilities were preserved. She showed no global reasoning or language problems apart from her abnormal beliefs. EN believed that she was able to walk and carry out several activities, in a context of other disorders of belief. SPECT scan showed marked hypoperfusion in the right parietotemporal cortex and this extended to the associative cortex in the right frontal regions. The persistence of anosognosia in this patient cannot be explained by memory impairments or global cognitive decline. A possible account might be that alteration in awareness was maintained by contingent right frontal and/or parietal dysfunction causing a suspension or change in the ability to monitor and check the 'real' and especially to assess the veracity of mental contents.","Venneri A, Shanks MF",2004,,PubMed
[Back to the high school days: an abnormal remembering characterized by concurrent as well as alternating feeling to be in the past and present].,"After the successful treatment of a hypothalamic germinoma, a 31-year-old right-handed male developed a difficulty in memory and admitted to our department for detailed evaluation. Neuropsychologically he showed no personality change, confabulation, misidentification, delusion or disorientation to physical time. Neither aphasia, dementia or frontal lobe dysfunction was found. However, he showed a moderate degree of anterograde amnesia and a retrograde amnesia for the last 5 years judged by a public events test. Moreover, his temporal markings of a correctly remembered event in the post high school days shifted strongly toward the high school days. This temporal location abnormality was largely limited to the events from the days of his graduation from the high school to the period 5 years prior to the present incident. He felt personal events happened during this period as if they had occurred in the high school days, although he well knew that they actually happened much later. At the same time he felt that memories of the high school days were abnormally vivid and recent. Most interestingly, he was found to have been experiencing a funny feeling that he was living in the high school days and the present at the same time. The feeling occurred either simultaneously or alternatively. In the latter instance, he would suddenly start behaving as if he were a high school student. He would start urging his wife to go to the school together immediately. This behavior would be over in several minutes. His consciousness was clear in these instances and there was no amnesia for these periods. A brain MRI with gadolinium enhancement showed a lesion extending in the hypothalamus, anterior thalamus, basal forebrain and midbrain bilaterally. After eight months this abnormality of temporal sensation disappeared. However, tendency to make the date of public event nearer to the high school period persisted. We hypothesize that impaired temporal estimation for an event recalled from the retrograde memory store and mis-arousal of familiarity evoked at the time of spontaneous recollection are responsible for double feeling of time of an experience. These phenomenon might be attributable to the partial destruction of the Papez' and the basolateral limbic circuits.","Hashimoto R, Hirayama K, Fujii T, Yamadori A",2003 Mar,,PubMed
The delusions of Capgras and intermetamorphosis in a patient with right-hemisphere white-matter pathology.,"Previous neuropsychological studies have demonstrated an association between person misidentification and right-hemisphere dysfunction. In the study reported here, we explore the contribution of facial and visual recognition impairments in a patient with right-hemisphere subcortical white-matter pathology in the frontal and parietal lobes and a diagnosis of vascular cognitive impairment. The patient displayed false recognition of unfamiliar faces and deficient retrieval of key biographic detail for famous faces. These results are discussed in the context of the contribution of deficiencies in the visual system and subcortical white-matter lesions to the development of Capgras delusion.","Edelstyn NM, Oyebode F, Barrett K",2001 Nov-Dec,,PubMed
Mirrored-self misidentification: two cases of focal onset dementia.,"We present two patients in whom the mirror sign, the inability to recognize one's own reflected image, was a stable and persisting symptom signalling the onset of a progressive dementing illness. Extensive neuropsychological testing was conducted with both patients, with particular emphasis on face processing and the understanding of reflected space. Both patients were also investigated with structural imaging techniques (computed tomography and magnetic resonance imaging). Although the neuroimaging results were not strongly lateralizing for either patient, neuropsychological testing revealed striking right hemisphere dysfunction with relatively intact left hemisphere cognitive function in both patients. Of particular interest was the patients' dissociation on tests of face processing; one patient, FE, had significant face processing deficits while the other patient, TH, had relatively intact face processing. Further testing with TH revealed striking deficits in his ability to interpret reflected space. The results of the face processing tests are discussed in the context of current models of normal face processing, with particular emphasis on the affective component in face recognition. We propose that a combination of cognitive deficits underlie the mirror sign delusion, including perceptual, affective and reasoning impairments, and also discuss the contributions of cortical and subcortical lesions in these two patients and in delusions in general.","Breen N, Caine D, Coltheart M",2001,,PubMed
"[A-56-year-old woman with parkinsonism, whose mother had Parkinson's disease].","We report a 56-year-old woman with progressive gait disturbance. Her mother had Parkinson's disease with onset at age 70. She died at age 74 and the post-mortem examination confirmed the diagnosis of Lewy body positive Parkinson's disease. The patient was well until the age of 50(1995) when she noted an onset of resting tremor and difficulty of gait. She also developed delusional ideation and was admitted to a psychiatric service of another hospital, where a major tranquilizer was given. The delusion disappeared but she developed marked rigidity. The major tranquilizer was discontinued and an anticholinergic and amantadine HCl were given. She showed marked improvement to Hoehn and Yahr stage II and was discharged. In 1995, when she was 52 years of the age, she developed delusion again and a major tranquilizer was given. She developed marked parkinsonism again and became Hoehn and Yahr stage V. The major tranquilizer was discontinued and she was treated with levodopa/carbidopa, trihexyphenidyl, bromocriptine, and dops. She improved remarkably to stage II. She was admitted to our service on October 8, 1996 for drug adjustment. She was alert and not demented. She was anxious but delusion or hallucination was noted. Higher cerebral functions were intact. Cranial nerve functions were also intact except for masked face and small voice. Her posture was stooped and steps were small. She showed retropulsion and moderate bradykinesia. Resting tremor was noted in her left hand. Rigidity was noted in both legs. No cerebellar ataxia or weakness was noted. Deep tendon reflexes were within normal range and sensation was intact. Her cranial MRI revealed some atrophic changes in the putamen, in which a T 2-high signal linear lesion was seen along the lateral border of the putamen bilaterally. In addition, posterior part of the putamen showed T 2-low signal intensity change. She was treated with 1.6 mg of talipexole, 6 mg of trihexyphenidyl, and 100 mg of L-dops. She was in stage III of Hoehn and Yahr. She developed neurogenic bladder with a large amount of residual urine for which she required catheterization. She was transferred to another hospital. Despite drug adjustment, she lost response to levodopa and her parkinsonism deteriorated gradually. She also developed syncope orthostatic hypotension. In April of 1998, she developed intracerebral hemorrhage and was admitted again on April 19, 1998. She was unable to stand and showed marked akinesia and rigidity. She was in stage V of Hoehn and Yahr. Her cranial CT scan revealed bilateral high-density lesions in the posterior parietal lobes. She developed dysphagia for which she required gastrostomy. She was transferred to another hospital but her clinical condition deteriorated further. On December 22, 1999, she developed fever and dyspnea and was admitted to our service again. She developed cardial arrest at the emergency room from hypoxia. She was resuscitated; however, she was comatose with loss of brain stem reflexes. Later on she developed generalized myoclonus. She developed cardiac arrest and pronounced dead on December 28, 1999. The patient was discussed in a neurological CPC. The chief discussant arrived at the conclusion that the patient had striatonigral degeneration because of poor response to levodopa in the later course, autonomic failures, and MRI changes. Some other participants thought that the patient had a form of familial Parkinson's disease. Opinions were divided into these two possibilities. Post-mortem examination revealed that the substantia nigra showed intense neuronal loss and gliosis, however, no Lewy bodies were seen. In addition, intracytoplasmic inclusions were seen in oligodendrocytes. The putamen was markedly atrophic in its posterior part with marked gliosis and neuronal loss. The ventromedial part of the pontine nucleus also showed neuronal loss and intracytoplasmic glial inclusions. Pathologic diagnosis was multiple system atrophy. In the parietal lobe, an arteriovenous malformation with bleeding was noted. This is very unique case. Although her mother had Lewy body-positive Parkinson's disease, the patient had Lewy body-negative multiple system atrophy with a-synuclein-positive glial inclusions. Whether this is just a coincidental occurrence or the presence of a genetic load for Parkinson's disease might triggered her multiple system atrophy is an interesting question to be answered in future.","Shimo Y, Takanashi M, Ohta S, Terashima K, Mori H, Shirai T, Miwa H, Mizuno Y",2001 May,,PubMed
Magnetic resonance imaging findings in patients with delusional disorder due to diffuse cerebrovascular disease: a report of seven cases.,"Delusions associated with cerebrovascular diseases have been sporadically reported. Although both psychiatrists and neurologists attempted to link delusions with anatomical locations of the brain lesion, comorbid psychiatric and neurological disorders make the interpretation of delusions difficult. The purpose of the present paper is to report the clinical features and magnetic resonance imaging (MRI) characteristics in patients with delusional disorder due to diffuse cerebrovascular diseases, and to redefine the concept of 'vascular delusion'. The clinical features and MRI findings were reviewed retrospectively in a series of seven patients with 'delusional disorder due to cerebrovascular disease' as defined in Diagnostic and Statistical Manual of Mental Disorders (DSMIV). The average age of onset is 64. No patient had a prior personal or family history of major psychiatric illness. The illness is presented as acute, subacute or stepwise course. Hypertension was present in all patients. Two had diabetes mellitus, and one had atrial fibrillation. Three had clinical evidence of previous cerebrovascular attacks, only one showed minor neurological deficits. Three had diffuse cortical slow wave in electroencephalogram. No patient had significant cognitive impairment but had multiple cortical and subcortical cerebrovascular lesions in MRI, with white-matter lesions (WML) in bilateral frontal areas. Delusional disorder due to diffuse cerebrovascular change is characterized by late-onset, stepwise course, and comorbid medical and neurological diseases. The results of vascular changes in the present study did not establish a cause-effect relationship and should be considered as multifactorial in pathogenesis. The findings suggested the hypothesis of neural circuit theory. Further studies in larger numbers of patients and newer neuroimaging techniques are needed to expand the knowledge learned from these findings.","Su KP, Hsu CY, Hsieh SC, Shen WW",2001 Apr,,PubMed
Acquired obsessive-compulsive disorder associated with basal ganglia lesions.,"The authors report 5 cases of acquired obsessive-compulsive disorder occurring later in life. Patients' presentations, which could be readily mistaken for a delusional disorder, were associated with depressive symptoms and basal ganglia lesions, implicating dysfunction of the cortical-basal ganglia-thalamic-cortical neuroanatomical circuit.","Chacko RC, Corbin MA, Harper RG",2000 Spring,,PubMed
[Somatoparaphrenia. A positive variant of anosognosia for hemiplegia].,"Anosognosia for hemiplegia (AHP), i.e., unawareness of motor deficits and associated disorders, has been frequently reported, pre-dominantly following right hemispheric lesions. To a smaller extent, there are case reports of patients who give accounts of a feeling of strangeness concerning the contralesional limbs and sometimes attribute them to other persons. This ""positive-variant"" of AHP has been labeled ""somatoparaphrenia"" (SP). We report a case of SP in a 85-year-old woman with infarction of the right posterior cerebral artery and posterior parts of the right thalamus. She showed AHP and described her left side alternatively as her handicapped nephew and a clumsy cat. Misidentification of her daughter also occurred. With respect to the literature the predominant neuroanatomical features involved are lesions including right parietal cortex and/or posterior parts of the thalamus. Theories concerning the pathogenesis of this phenomenon comprise a denial of the illness, a lack of awareness caused by reduced sensory feedback and neglect, a misidentification or disturbance of the active discovery process considered necessary for realizing one's disorder.","Paulig M, Weber M, Garbelotto S",2000 Feb,,PubMed
